Age.Group,Ethnicity,Gender,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
77,Maori,Total,350,380,390,420,420,430,480,480,530,550,600,660,730,730,770,840,920,930,990,1090,1100,1140,1260
78,Maori,Total,290,330,360,360,390,390,400,440,440,480,500,570,610,670,670,720,800,870,880,930,1030,1030,1070
79,Maori,Total,270,270,310,340,340,360,360,370,400,400,440,460,530,570,620,620,680,750,820,830,880,960,960
80,Maori,Total,200,250,250,290,310,310,330,330,330,360,370,400,420,490,520,570,580,640,700,770,780,820,900
81,Maori,Total,170,180,230,230,270,280,280,290,300,300,330,350,360,380,450,470,530,530,590,650,720,720,770
82,Maori,Total,150,160,170,220,220,240,250,260,270,270,270,300,310,320,340,410,430,480,490,540,600,660,660
83,Maori,Total,120,130,150,150,200,190,210,220,230,240,230,240,270,270,280,300,360,390,430,440,490,540,580
84,Maori,Total,100,110,120,130,130,170,160,190,190,200,210,210,210,240,240,250,270,340,350,390,400,450,500
85,Maori,Total,90,90,100,110,120,120,150,150,160,170,180,190,180,180,200,210,210,240,310,320,350,360,400
86,Maori,Total,80,80,80,90,100,100,110,130,130,140,150,150,160,160,150,170,190,190,220,270,280,300,310
87,Maori,Total,80,70,70,70,80,70,90,90,110,110,130,120,130,140,140,130,150,170,170,200,250,250,260
88,Maori,Total,60,70,60,60,60,60,60,80,70,90,100,110,100,110,110,110,120,140,150,140,180,210,220
89,Maori,Total,60,50,60,50,50,50,50,50,70,60,80,80,90,90,90,90,100,100,120,130,120,150,190
90+,Maori,Total,160,180,190,190,180,170,170,180,190,210,210,230,250,270,280,300,310,350,370,420,480,510,580
All ages,Maori,Total,468400,481100,493300,505200,517300,529000,540500,552000,562900,574000,585700,594900,603000,610600,617600,624100,633100,642800,653100,663900,673400,682100,690500
0,Maori,Male,7480,7560,7430,7430,7580,7750,7460,7640,7540,7870,7890,7660,7640,7770,7780,8120,9400,9850,9630,9520,9360,9000,8780
1,Maori,Male,7310,7500,7550,7420,7410,7570,7720,7440,7620,7520,7840,7800,7530,7500,7600,7600,8000,9300,9790,9580,9460,9300,8950
2,Maori,Male,6930,7310,7500,7540,7410,7410,7560,7720,7440,7620,7510,7790,7720,7410,7370,7420,7500,7930,9260,9750,9530,9410,9260
3,Maori,Male,6640,6930,7300,7490,7540,7410,7400,7560,7720,7430,7610,7470,7730,7630,7280,7220,7340,7430,7880,9220,9700,9490,9370
4,Maori,Male,6470,6630,6920,7300,7490,7540,7410,7400,7560,7720,7430,7550,7410,7660,7540,7140,7160,7280,7390,7850,9180,9660,9450
5,Maori,Male,6060,6470,6630,6920,7300,7490,7540,7410,7400,7560,7710,7380,7480,7350,7580,7430,7080,7100,7240,7360,7810,9140,9620
6,Maori,Male,5750,6060,6470,6630,6920,7300,7490,7540,7410,7400,7550,7660,7330,7400,7290,7490,7380,7020,7060,7200,7310,7760,9090
7,Maori,Male,5480,5750,6060,6470,6630,6920,7300,7490,7540,7410,7400,7510,7590,7270,7310,7210,7440,7330,6980,7020,7160,7270,7720
8,Maori,Male,5440,5480,5750,6060,6470,6630,6930,7300,7500,7540,7410,7380,7460,7520,7200,7210,7160,7390,7290,6940,6980,7110,7220
9,Maori,Male,5460,5440,5480,5750,6060,6470,6630,6930,7310,7500,7540,7390,7350,7410,7440,7120,7160,7110,7350,7250,6890,6930,7060
10,Maori,Male,5710,5460,5440,5480,5750,6060,6470,6630,6930,7310,7500,7530,7370,7320,7350,7350,7070,7110,7060,7300,7190,6840,6870
11,Maori,Male,5620,5710,5460,5440,5480,5750,6060,6470,6640,6930,7310,7470,7500,7330,7280,7280,7290,7010,7050,7010,7240,7140,6780
12,Maori,Male,5670,5620,5700,5460,5440,5480,5750,6060,6480,6640,6930,7260,7430,7470,7300,7220,7220,7230,6950,7000,6940,7180,7080
13,Maori,Male,5610,5670,5620,5700,5460,5450,5480,5750,6060,6480,6640,6900,7210,7390,7430,7240,7160,7150,7170,6900,6930,6880,7120
14,Maori,Male,5430,5610,5670,5620,5700,5460,5450,5480,5750,6070,6490,6640,6860,7140,7340,7370,7180,7090,7090,7110,6830,6870,6820
15,Maori,Male,5390,5430,5610,5670,5620,5700,5460,5440,5480,5750,6080,6520,6630,6800,7070,7260,7310,7110,7020,7030,7040,6770,6800
16,Maori,Male,5210,5380,5420,5600,5660,5610,5690,5450,5440,5470,5770,6180,6540,6590,6720,6950,7170,7230,7040,6960,6960,6970,6700
17,Maori,Male,5050,5190,5360,5400,5580,5640,5580,5660,5400,5390,5470,5910,6230,6490,6470,6550,6830,7080,7150,6970,6880,6880,6890
18,Maori,Male,4950,5020,5160,5320,5350,5520,5580,5500,5550,5300,5350,5570,5940,6150,6300,6230,6380,6710,6990,7060,6880,6790,6790
19,Maori,Male,4850,4900,4960,5090,5230,5250,5410,5420,5300,5350,5180,5270,5480,5760,5840,5920,6010,6240,6610,6900,6960,6770,6690
20,Maori,Male,4590,4790,4830,4870,4970,5100,5110,5220,5170,5030,5170,4990,5080,5250,5430,5460,5690,5860,6130,6510,6780,6830,6650
21,Maori,Male,4300,4520,4710,4730,4740,4830,4950,4910,4950,4880,4830,4880,4750,4840,4980,5110,5170,5500,5730,6000,6370,6640,6700
22,Maori,Male,4220,4240,4460,4620,4620,4620,4700,4770,4660,4690,4690,4540,4630,4580,4650,4800,4790,4940,5340,5580,5830,6200,6470
23,Maori,Male,4030,4170,4180,4380,4530,4510,4500,4550,4560,4430,4510,4350,4280,4450,4480,4580,4500,4570,4770,5190,5400,5650,6030
24,Maori,Male,3970,3980,4120,4110,4290,4430,4400,4370,4370,4370,4280,4160,4050,4090,4340,4460,4320,4290,4400,4620,5020,5220,5480
25,Maori,Male,3810,3940,3950,4080,4060,4240,4370,4340,4280,4270,4280,4050,3960,3940,4090,4420,4260,4130,4140,4270,4460,4850,5070
26,Maori,Male,3850,3790,3930,3930,4060,4040,4220,4350,4310,4260,4230,4120,3910,3900,3960,4220,4290,4120,4010,4030,4130,4320,4720
27,Maori,Male,3900,3840,3790,3920,3930,4060,4040,4220,4360,4320,4240,4140,4030,3860,3920,4050,4140,4180,4010,3920,3920,4020,4220
28,Maori,Male,4030,3900,3850,3790,3930,3950,4080,4060,4260,4400,4340,4200,4100,3990,3870,3980,4030,4070,4110,3950,3840,3840,3950
29,Maori,Male,3970,4030,3900,3850,3810,3950,3970,4110,4110,4310,4420,4330,4160,4070,3970,3880,4000,4000,4020,4060,3900,3780,3790
30,Maori,Male,3690,3970,4040,3910,3870,3820,3970,4000,4150,4160,4330,4410,4300,4110,4040,3930,3900,3970,3960,3990,4020,3860,3740
31,Maori,Male,3570,3690,3980,4040,3920,3880,3830,4000,4040,4200,4180,4330,4380,4260,4060,3980,3940,3870,3940,3930,3950,3990,3820
32,Maori,Male,3440,3580,3690,3980,4050,3930,3890,3850,4030,4080,4220,4160,4300,4340,4210,3970,3990,3920,3840,3910,3900,3910,3950
33,Maori,Male,3210,3450,3580,3700,3990,4060,3940,3910,3880,4070,4090,4210,4110,4270,4280,4130,3970,3960,3880,3810,3880,3870,3880
34,Maori,Male,3160,3210,3450,3580,3700,4000,4070,3960,3940,3920,4080,4070,4180,4050,4220,4210,4120,3940,3930,3860,3780,3850,3830
35,Maori,Male,3020,3160,3210,3450,3590,3710,4010,4090,3990,3970,3930,4060,4040,4150,3990,4160,4200,4090,3900,3900,3820,3740,3820
36,Maori,Male,2800,3020,3160,3220,3460,3600,3720,4030,4110,4020,3990,3920,4030,4010,4110,3920,4150,4170,4060,3880,3860,3790,3710
37,Maori,Male,2670,2800,3020,3160,3230,3470,3610,3730,4050,4140,4040,3970,3900,3990,3960,4050,3900,4120,4140,4030,3840,3830,3760
38,Maori,Male,2640,2670,2800,3020,3170,3230,3470,3620,3750,4070,4150,4020,3950,3870,3940,3880,4040,3870,4090,4110,4000,3800,3800
39,Maori,Male,2610,2640,2670,2800,3030,3170,3240,3480,3630,3770,4070,4130,3990,3910,3830,3870,3870,4010,3840,4050,4070,3960,3770
40,Maori,Male,2470,2610,2630,2670,2810,3030,3180,3240,3500,3650,3770,4050,4110,3950,3870,3770,3860,3840,3970,3810,4020,4040,3930
41,Maori,Male,2360,2470,2610,2630,2670,2810,3030,3180,3260,3520,3650,3770,4000,4070,3890,3800,3760,3830,3800,3940,3770,3980,4000
42,Maori,Male,2180,2360,2470,2600,2630,2670,2810,3040,3190,3270,3520,3640,3750,3950,4020,3830,3780,3720,3790,3770,3900,3730,3950
43,Maori,Male,2150,2180,2360,2470,2600,2630,2660,2810,3040,3190,3270,3510,3620,3720,3880,3960,3800,3740,3680,3760,3730,3860,3690
44,Maori,Male,2020,2140,2170,2350,2460,2600,2630,2660,2810,3040,3190,3260,3500,3580,3680,3810,3930,3760,3700,3630,3720,3690,3820
45,Maori,Male,1790,2020,2140,2170,2350,2450,2590,2630,2660,2810,3030,3190,3240,3470,3530,3630,3770,3890,3730,3660,3600,3680,3660
46,Maori,Male,1720,1780,2010,2130,2160,2340,2440,2590,2620,2660,2800,3020,3180,3220,3440,3470,3600,3730,3850,3690,3630,3560,3650
47,Maori,Male,1680,1710,1770,2000,2120,2150,2330,2440,2580,2620,2650,2790,2990,3150,3190,3390,3440,3570,3690,3810,3640,3590,3530
48,Maori,Male,1600,1660,1700,1760,1990,2110,2150,2320,2430,2570,2610,2640,2770,2960,3120,3140,3350,3410,3530,3660,3770,3600,3550
49,Maori,Male,1590,1590,1650,1690,1750,1980,2090,2130,2300,2410,2560,2600,2610,2740,2920,3080,3110,3310,3370,3490,3610,3730,3560
50,Maori,Male,1620,1570,1580,1640,1680,1730,1960,2070,2120,2280,2390,2530,2580,2590,2710,2870,3050,3070,3280,3330,3440,3560,3690
51,Maori,Male,1670,1610,1560,1560,1620,1660,1710,1940,2060,2100,2260,2360,2500,2560,2560,2660,2840,3010,3030,3240,3290,3400,3520
52,Maori,Male,1450,1660,1590,1540,1540,1600,1650,1700,1920,2040,2090,2240,2330,2470,2540,2520,2620,2800,2970,2990,3200,3250,3350
53,Maori,Male,1380,1430,1640,1570,1520,1520,1580,1630,1680,1890,2020,2080,2220,2290,2430,2510,2480,2580,2760,2920,2940,3160,3210
54,Maori,Male,1330,1370,1410,1620,1550,1490,1490,1560,1610,1650,1870,2010,2060,2180,2240,2380,2460,2440,2530,2720,2880,2900,3120
55,Maori,Male,1260,1310,1350,1390,1600,1530,1470,1460,1540,1590,1630,1850,2000,2040,2150,2200,2340,2420,2410,2490,2680,2840,2860
56,Maori,Male,1210,1240,1290,1320,1370,1570,1500,1450,1440,1510,1570,1630,1830,1980,2020,2110,2170,2300,2370,2370,2460,2640,2790
57,Maori,Male,1160,1190,1220,1270,1300,1340,1540,1480,1430,1420,1490,1550,1610,1810,1970,2000,2080,2130,2250,2330,2330,2410,2600
58,Maori,Male,1100,1140,1170,1200,1240,1270,1320,1510,1450,1410,1390,1460,1530,1600,1790,1940,1960,2040,2100,2210,2300,2300,2380
59,Maori,Male,1010,1080,1110,1140,1170,1220,1240,1290,1470,1420,1380,1370,1430,1490,1580,1770,1910,1930,2000,2060,2170,2260,2260
60,Maori,Male,900,990,1050,1090,1120,1140,1190,1210,1260,1440,1390,1350,1340,1410,1450,1550,1740,1870,1890,1970,2030,2120,2220
61,Maori,Male,870,880,960,1030,1060,1080,1100,1160,1180,1230,1410,1370,1320,1330,1370,1410,1520,1700,1830,1850,1930,1990,2080
62,Maori,Male,810,850,860,930,1000,1030,1050,1070,1120,1140,1200,1380,1340,1290,1300,1340,1380,1480,1660,1790,1820,1890,1950
63,Maori,Male,740,790,820,830,910,960,1000,1010,1030,1090,1110,1170,1340,1310,1270,1270,1310,1350,1450,1620,1750,1780,1850
64,Maori,Male,660,720,770,800,800,880,930,960,980,1000,1060,1080,1150,1320,1280,1230,1240,1270,1310,1410,1580,1710,1740
65,Maori,Male,580,630,690,740,770,780,840,890,920,950,980,1030,1060,1130,1280,1240,1200,1200,1240,1280,1380,1550,1680
66,Maori,Male,550,560,610,670,720,740,740,800,860,890,920,940,990,1040,1100,1240,1200,1160,1160,1200,1240,1350,1520
67,Maori,Male,500,530,540,590,640,680,700,700,770,820,850,890,910,950,1010,1080,1200,1160,1130,1130,1170,1200,1310
68,Maori,Male,390,480,510,520,560,610,650,670,670,740,790,820,860,870,900,980,1040,1170,1120,1090,1100,1140,1170
69,Maori,Male,370,370,460,490,500,540,580,620,640,640,710,760,780,830,840,880,950,990,1130,1090,1060,1070,1100
70,Maori,Male,340,350,350,440,470,470,510,540,590,600,600,670,710,740,790,800,840,920,950,1080,1050,1030,1040
71,Maori,Male,310,320,340,330,420,440,440,480,510,560,570,570,630,660,710,770,780,810,880,910,1040,1010,990
72,Maori,Male,260,290,310,320,320,390,420,420,450,480,530,540,540,600,620,680,740,740,770,840,870,1000,960
73,Maori,Male,230,250,280,290,300,290,370,400,390,420,450,500,510,510,570,580,640,710,700,730,810,840,950
74,Maori,Male,210,210,240,260,270,270,270,340,370,370,390,430,470,490,470,530,540,600,670,670,710,770,800
75,Maori,Male,180,190,200,220,250,250,250,260,310,340,340,370,390,440,460,440,490,510,570,630,630,670,730
76,Maori,Male,170,170,180,190,210,230,230,240,230,280,320,320,330,360,410,430,420,460,480,530,600,590,630
77,Maori,Male,140,160,150,170,170,190,210,200,220,210,260,290,290,310,340,380,400,380,430,460,510,560,550
78,Maori,Male,120,130,150,140,150,160,170,200,180,200,190,240,260,270,280,310,360,370,360,410,430,470,520
79,Maori,Male,110,110,120,140,130,140,150,160,180,160,180,180,220,240,250,250,290,330,350,340,380,400,430
80,Maori,Male,70,110,100,110,130,120,120,140,140,150,150,160,160,200,210,230,230,270,300,330,320,350,370
81,Maori,Male,70,70,100,90,100,110,100,110,120,130,140,130,140,140,180,190,210,210,250,280,310,300,330
82,Maori,Male,60,70,60,90,80,90,100,90,100,100,110,120,120,120,130,160,170,190,190,230,260,270,260
83,Maori,Male,40,50,60,60,80,70,70,80,80,80,90,90,110,100,110,110,140,150,170,160,210,230,240
84,Maori,Male,50,40,40,60,50,70,60,70,70,70,70,80,80,90,80,90,100,130,130,150,140,190,200
85,Maori,Male,40,40,30,40,50,40,60,50,60,70,60,60,60,70,70,70,80,80,120,110,130,130,170
86,Maori,Male,40,30,40,30,30,40,40,50,40,50,60,50,50,50,50,60,70,70,80,110,110,120,110
87,Maori,Male,40,30,30,30,20,20,40,30,40,40,40,50,40,40,40,40,50,60,60,70,100,90,100
88,Maori,Male,40,30,20,20,20,10,20,30,30,40,30,40,40,30,30,40,40,50,50,50,70,80,80
89,Maori,Male,30,30,20,20,20,20,10,20,30,20,30,30,30,30,30,20,30,30,40,50,50,60,70
90+,Maori,Male,80,80,80,70,60,50,50,50,50,60,70,80,80,80,90,90,90,100,120,150,180,200,240
All ages,Maori,Male,229700,236200,242400,248500,254600,260600,266300,272000,277400,283000,288900,293200,296800,300200,303100,305700,310300,315400,320700,326200,331100,335500,339700
0,Maori,Female,7100,7060,6950,6890,7150,7070,7210,7260,7120,7270,7430,7290,7230,7330,7400,7840,8830,9100,8890,9000,8780,8600,8330
1,Maori,Female,7110,7110,7050,6940,6880,7140,7040,7190,7250,7110,7260,7370,7160,7080,7170,7230,7720,8740,9060,8850,8960,8730,8550
2,Maori,Female,6810,7100,7110,7040,6930,6870,7130,7040,7190,7250,7100,7240,7320,7020,6930,7010,7140,7650,8710,9020,8810,8920,8690
